"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.1997,"ME204",0.25,10.001,NA,NA,1000,"ME204",NA,0.0205,1
"2","117d",1.2014,"ME204",0.25,10.0002,NA,NA,1000,"ME204",NA,0.0279,1
"3","118d",1.2006,"ME204",0.25,9.9982,NA,NA,1000,"ME204",NA,0.032,1
"4","119d",1.1999,"ME204",0.25,9.9994,NA,NA,1000,"ME204",NA,0.0148,1
"5","120d",1.2005,"ME204",0.25,10.0017,NA,NA,1000,"ME204",NA,0.0287,1
"6","116d",1.2004,"ME204",0.25,10.0018,NA,NA,1000,"ME204",NA,0.0205,2
"7","117d",1.2017,"ME204",0.25,9.9988,NA,NA,1000,"ME204",NA,0.0279,2
"8","118d",1.2003,"ME204",0.25,9.9996,NA,NA,1000,"ME204",NA,0.032,2
"9","119d",1.2005,"ME204",0.25,10.0004,NA,NA,1000,"ME204",NA,0.0148,2
"10","120d",1.2003,"ME204",0.25,10.0003,NA,NA,1000,"ME204",NA,0.0287,2
"11","116d",1.1996,"ME204",0.25,9.9994,NA,NA,1000,"ME204",NA,0.0205,3
"12","117d",1.2001,"ME204",0.25,9.999,NA,NA,1000,"ME204",NA,0.0279,3
"13","118d",1.2016,"ME204",0.25,9.9998,NA,NA,1000,"ME204",NA,0.032,3
"14","119d",1.1991,"ME204",0.25,10.001,NA,NA,1000,"ME204",NA,0.0148,3
"15","120d",1.2001,"ME204",0.25,10,NA,NA,1000,"ME204",NA,0.0287,3
