"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.2001,"ME204",0.1,10.0017,NA,NA,500,"ME204",NA,0.0366,1
"2","117d",1.1995,"ME204",0.1,10,NA,NA,500,"ME204",NA,0.044,1
"3","118d",1.1996,"ME204",0.1,9.9997,NA,NA,500,"ME204",NA,0.0481,1
"4","119d",1.2005,"ME204",0.1,9.9982,NA,NA,500,"ME204",NA,0.0309,1
"5","120d",1.1993,"ME204",0.1,10.0014,NA,NA,500,"ME204",NA,0.0448,1
"6","116d",1.1986,"ME204",0.1,9.9992,NA,NA,500,"ME204",NA,0.0366,2
"7","117d",1.2006,"ME204",0.1,9.9989,NA,NA,500,"ME204",NA,0.044,2
"8","118d",1.199,"ME204",0.1,10.003,NA,NA,500,"ME204",NA,0.0481,2
"9","119d",1.2,"ME204",0.1,10.0002,NA,NA,500,"ME204",NA,0.0309,2
"10","120d",1.1991,"ME204",0.1,10,NA,NA,500,"ME204",NA,0.0448,2
"11","116d",1.2011,"ME204",0.1,9.9973,NA,NA,500,"ME204",NA,0.0366,3
"12","117d",1.1995,"ME204",0.1,9.9999,NA,NA,500,"ME204",NA,0.044,3
"13","118d",1.1993,"ME204",0.1,10.001,NA,NA,500,"ME204",NA,0.0481,3
"14","119d",1.1995,"ME204",0.1,10.0004,NA,NA,500,"ME204",NA,0.0309,3
"15","120d",1.1984,"ME204",0.1,10.0009,NA,NA,500,"ME204",NA,0.0448,3
