"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","126d",1.2018,"ME204",0.25,10.0004,NA,NA,1000,"ME204",NA,0.0132,1
"2","127d",1.1989,"ME204",0.25,9.9998,NA,NA,1000,"ME204",NA,0.0206,1
"3","128d",1.2014,"ME204",0.25,9.9994,NA,NA,1000,"ME204",NA,0.0246,1
"4","129d",1.2013,"ME204",0.25,9.9997,NA,NA,1000,"ME204",NA,0.0075,1
"5","130d",1.2003,"ME204",0.25,10.0006,NA,NA,1000,"ME204",NA,0.0213,1
"6","126d",1.2,"ME204",0.25,10.0009,NA,NA,1000,"ME204",NA,0.0132,2
"7","127d",1.1995,"ME204",0.25,10.0007,NA,NA,1000,"ME204",NA,0.0206,2
"8","128d",1.1996,"ME204",0.25,10.0023,NA,NA,1000,"ME204",NA,0.0246,2
"9","129d",1.2006,"ME204",0.25,10.0012,NA,NA,1000,"ME204",NA,0.0075,2
"10","130d",1.2021,"ME204",0.25,10.0003,NA,NA,1000,"ME204",NA,0.0213,2
"11","126d",1.1998,"ME204",0.25,9.9993,NA,NA,1000,"ME204",NA,0.0132,3
"12","127d",1.1986,"ME204",0.25,10.0029,NA,NA,1000,"ME204",NA,0.0206,3
"13","128d",1.1993,"ME204",0.25,10.0007,NA,NA,1000,"ME204",NA,0.0246,3
"14","129d",1.2003,"ME204",0.25,9.9993,NA,NA,1000,"ME204",NA,0.0075,3
"15","130d",1.1997,"ME204",0.25,10.0002,NA,NA,1000,"ME204",NA,0.0213,3
