"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","126d",1.2004,"ME204",0.25,10.0003,NA,NA,1000,"ME204",NA,0.0249,1
"2","127d",1.1989,"ME204",0.25,10.0014,NA,NA,1000,"ME204",NA,0.0323,1
"3","128d",1.2009,"ME204",0.25,10.0004,NA,NA,1000,"ME204",NA,0.0364,1
"4","129d",1.201,"ME204",0.25,10.0003,NA,NA,1000,"ME204",NA,0.0192,1
"5","130d",1.2021,"ME204",0.25,10.0003,NA,NA,1000,"ME204",NA,0.0331,1
"6","126d",1.2004,"ME204",0.25,10.0004,NA,NA,1000,"ME204",NA,0.0249,2
"7","127d",1.1995,"ME204",0.25,10.0011,NA,NA,1000,"ME204",NA,0.0323,2
"8","128d",1.2001,"ME204",0.25,10.0005,NA,NA,1000,"ME204",NA,0.0364,2
"9","129d",1.1995,"ME204",0.25,10.0007,NA,NA,1000,"ME204",NA,0.0192,2
"10","130d",1.1992,"ME204",0.25,9.9989,NA,NA,1000,"ME204",NA,0.0331,2
"11","126d",1.2002,"ME204",0.25,9.9996,NA,NA,1000,"ME204",NA,0.0249,3
"12","127d",1.1991,"ME204",0.25,10.0015,NA,NA,1000,"ME204",NA,0.0323,3
"13","128d",1.2002,"ME204",0.25,9.9988,NA,NA,1000,"ME204",NA,0.0364,3
"14","129d",1.2004,"ME204",0.25,10.0003,NA,NA,1000,"ME204",NA,0.0192,3
"15","130d",1.1999,"ME204",0.25,10.0004,NA,NA,1000,"ME204",NA,0.0331,3
