"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.1982,"ME204",0.1,10.0005,NA,NA,500,"ME204",NA,0.0273,1
"2","117d",1.1994,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.0347,1
"3","118d",1.1989,"ME204",0.1,10.0002,NA,NA,500,"ME204",NA,0.0388,1
"4","119d",1.199,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.0216,1
"5","120d",1.1998,"ME204",0.1,10.0003,NA,NA,500,"ME204",NA,0.0355,1
"6","116d",1.2006,"ME204",0.1,10.0008,NA,NA,500,"ME204",NA,0.0273,2
"7","117d",1.2016,"ME204",0.1,10.0018,NA,NA,500,"ME204",NA,0.0347,2
"8","118d",1.1992,"ME204",0.1,10.0011,NA,NA,500,"ME204",NA,0.0388,2
"9","119d",1.2016,"ME204",0.1,10,NA,NA,500,"ME204",NA,0.0216,2
"10","120d",1.1988,"ME204",0.1,9.9989,NA,NA,500,"ME204",NA,0.0355,2
"11","116d",1.2007,"ME204",0.1,10.0004,NA,NA,500,"ME204",NA,0.0273,3
"12","117d",1.2025,"ME204",0.1,9.9996,NA,NA,500,"ME204",NA,0.0347,3
"13","118d",1.2,"ME204",0.1,10.0015,NA,NA,500,"ME204",NA,0.0388,3
"14","119d",1.1993,"ME204",0.1,9.9984,NA,NA,500,"ME204",NA,0.0216,3
"15","120d",1.2,"ME204",0.1,9.9996,NA,NA,500,"ME204",NA,0.0355,3
